0.21,0,0.43,0,0.07,1,0.53,0,0.01,1,0.52,1,0.52,0,0.86,3,0.47,0,0.27,0,0.93,0,0.01,0,0.73,2,0.17,1,0.66,0,0.7,1,10.69
0.17,0,0.76,0,0.35,1,0.25,0,0.96,2,0.82,1,0.37,1,0.04,2,0.06,0,0.44,0,0.47,1,0.91,1,0.96,1,0.23,0,0.68,0,0.32,1,10.92
0.24,0,0.8,0,0.97,0,0.7,0,0.06,0,0.46,1,0.23,3,0.76,1,0.31,0,0.55,0,0.02,1,0.38,1,0.22,1,0.36,0,0.69,2,0.13,0,10.58
0.7,0,0.5,0,0.05,0,0.73,0,0.12,2,0.01,0,0.23,0,0.99,2,0.15,0,0.51,0,0.63,0,0.32,1,0.2,1,0.76,1,0.37,3,0.24,3,12.88
0.88,0,0.69,0,0.25,0,0.5,0,0.52,1,0.4,1,0.1,2,0.07,0,0.91,0,0.78,0,0.77,0,0.96,1,0.28,1,0.67,2,0.96,3,0.1,1,10.9
0.55,0,0.59,0,0.57,0,0.76,0,0.08,2,0.02,1,0.38,2,0.85,1,0,0,0.96,0,0.89,1,0.43,0,0.45,1,0.06,2,0.36,0,0.4,1,12.41
0.36,0,0.34,0,0.38,1,0.76,1,0.13,1,0.03,1,0.62,1,0.34,0,0.91,0,0.69,0,0.76,1,0.17,1,0.6,0,0.44,0,0.39,2,0.83,3,10.47
0.32,0,0.08,0,0.48,1,0.77,1,0.78,2,0.15,1,0.84,2,0.06,0,0.67,0,0.64,0,0.18,0,0.12,1,0.23,2,0.94,2,0.74,2,0.06,3,12.48
0.66,0,0.2,0,0.52,0,0.59,1,0.17,2,0.8,1,0.87,1,0.41,1,0.68,0,0.95,0,0.34,0,0.57,1,0.74,1,0.69,2,0.4,0,0.76,3,10.46
0.31,0,0.61,0,0.16,0,0.4,1,0.23,1,0.64,1,0.13,3,0.26,3,0.66,0,0.16,0,0.46,0,0.24,1,0.29,1,0.5,2,0.07,0,0.99,2,11.49
0.75,0,0.85,0,0.85,1,0.03,0,0.56,2,0.76,0,0.34,1,0.84,0,0.25,0,0.11,0,0.54,0,0.8,0,0.47,1,0.17,2,0.61,0,0.03,2,10.66
0.23,0,0.04,0,0.94,1,0.02,1,0.77,1,0.92,0,0.16,3,0.61,2,0.78,0,0.76,0,0.77,1,0.81,1,0.38,1,0.69,1,0.09,1,0.21,0,9.94
0.6,0,0.14,0,0.35,0,0.01,1,0.78,2,0.25,2,0.6,2,0.25,0,0.43,0,0.56,0,0.31,0,0.21,0,0.54,0,0.67,1,0.01,0,0.64,1,12.68
0.09,0,0.81,0,0.04,1,0.16,1,0.92,1,0.59,1,0.85,1,0.82,3,0.85,0,0.18,0,0.92,0,0.42,0,0.13,0,0.72,0,0.8,2,0.52,0,11.32
0.32,0,0.83,0,0.84,1,0.06,1,0.41,0,0.86,0,0.96,0,0.21,1,0.9,0,0.32,0,0.24,1,0.39,1,0.89,2,0.33,0,0.12,0,0.9,2,11.07
0.11,0,0.3,0,0.75,1,0.9,0,0.85,0,0.37,2,0.36,0,0.04,3,0.44,0,0.66,0,0.15,0,0.18,0,0.5,0,0.16,1,0.6,1,0.06,2,12.08
0.54,0,0.6,0,0.23,1,0.09,0,0.46,0,0.32,1,0.8,1,0.6,2,0.57,0,0.82,0,0.85,1,0.87,1,0.06,1,0.97,0,0.17,2,0.06,2,11.72
